COVID-19 Vaccinations in the United States
Date generated: Sat Nov 20 2021 14:14:42 GMT-0800 (Pacific Standard Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an unknown manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Unknown Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Unknown Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Unknown,Count People Primary Unknown Booster Pfizer,Count People Primary Unknown Booster Moderna,Count People Primary Unknown Booster J&J,Count People Primary Unknown Booster Unknown,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Unknown,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Unknown,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Unknown,Percent People Primary Unknown Booster Pfizer,Percent People Primary Unknown Booster Moderna,Percent People Primary Unknown Booster J&J,Percent People Primary Unknown Booster Uknown
District of Columbia,1430525,202696,247675,1136629,161053,1088432,188447,557316,79,524149,90.7,450160,63.8,430663,74.6,832125,533900,64500,0,32589,417374,686200,466,161407,252243,36188,322,161339,232858,36165,301,N/A,79,N/A,90.7,59.4,399947,69.2,557316,90167,99.9,76158,87.2,40673,32786,2628,71,220528,252485,1637820,550893,90.3,450098,73.8,161400,252197,36183,318,1131271,185529,234607,557267,84.4,450145,68.2,161402,252235,36186,322,1136540,172104,216621,61928,13.8,61854,14.4,38634,23,25820,33.9,24325,37244,350,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dept of Defense,5793560,N/A,N/A,6497339,N/A,6170846,N/A,3563187,N/A,3384332,N/A,2747679,N/A,2608684,N/A,3627960,1958700,206900,0,289679,2207082,3980550,20028,875290,1616163,256089,137,875108,1477544,255895,137,N/A,N/A,N/A,N/A,0,2353464,0,3563187,289730,0,166007,0,57259,100517,8231,0,498396,0,0,3558181,0,2747598,0,875270,1616126,256065,137,6492263,0,0,3563075,0,2747625,0,875272,1616145,256071,137,6497183,0,0,763,0,760,0,41,0,13,0,193,560,10,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Delaware,1840285,188987,238938,1386355,142371,1296910,168388,693987,71.3,646368,83.9,593321,60.9,556898,72.3,1030725,728160,81400,0,53663,534163,796860,1669,215845,324557,52385,534,215720,288323,52328,527,N/A,71.3,N/A,83.9,56.1,510081,66.2,693987,197289,99.9,171894,91,70635,91455,9517,287,444249,235169,974180,689029,82,593260,70.6,215833,324518,52375,534,1381250,164472,219132,693856,75.5,593292,64.6,215834,324543,52381,534,1386196,150830,200239,107660,18.1,107576,19.3,92886,28.3,70643,41.1,42660,63936,1058,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Florida,38105285,177418,220928,30101562,140152,28402401,164673,15217774,70.9,14253951,82.6,13052927,60.8,12344449,71.6,21484925,14501660,2118700,0,1299410,11239883,17451916,110353,4577926,7185026,1257441,32534,4576119,6480201,1255850,32279,N/A,70.9,N/A,82.6,55.4,11187123,64.9,15217774,4508428,99.9,3927240,87.3,1892122,1810989,204915,19214,10238100,227648,847286,15110276,80.8,13050966,69.8,4577201,7184609,1256629,32527,29989840,160408,203815,15210184,74.8,13051311,64.2,4577219,7184902,1256656,32534,30093066,147965,187360,2164920,16.6,2162857,17.5,1886975,26,1440874,36.7,938115,1196034,28091,2680,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Federated States of Micronesia,0,0,0,78713,76928,77021,115432,47479,46.4,46322,69.4,41746,40.8,41182,61.7,0,0,0,0,12220,64762,1731,0,29353,700,11692,1,29348,164,11669,1,N/A,46.4,N/A,69.4,29.4,29585,44.3,47479,3620,75.2,3364,69.9,2299,8,1057,0,6059,125914,0,47465,60,41737,52.7,29352,700,11684,1,78698,99439,0,47474,51.1,41742,45,29353,700,11688,1,78708,84795,0,806,1.9,804,2,331,2.7,82,2.4,784,7,15,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Georgia,17086115,160925,210588,12028251,113288,11263750,138827,6179977,58.2,5729755,70.6,5217528,49.1,4902482,60.4,9422675,6918840,744600,0,296114,4802552,6917313,12272,2022741,2901858,289035,3894,2021870,2588362,288596,3654,N/A,58.2,N/A,70.6,46.6,4637423,57.2,6179977,1372960,90.5,1219319,80.4,665605,518486,33368,1860,3089781,203683,1126340,6138338,68.3,5216822,58,2022680,2901332,288921,3889,11985824,133352,190097,6178616,62,5217320,52.4,2022690,2901783,288953,3894,12026748,120740,171533,743286,14.2,742397,15.1,599284,23.1,419432,34.4,330632,405913,6462,279,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Guam,0,0,0,266881,158397,239835,209382,133931,79.5,119420,99.9,122728,72.8,110270,96.3,0,0,0,0,10635,85330,170872,44,37420,75329,9979,0,37406,62891,9973,0,N/A,79.5,N/A,99.9,67,100425,87.7,133931,16702,99.9,15736,98,6436,8760,540,0,38735,241174,0,133669,99.9,122715,93.5,37419,75318,9978,0,266607,203027,0,133926,87.7,122727,80.3,37419,75329,9979,0,266875,174701,0,17339,14.1,17325,15.7,12619,28.8,6537,41.5,5377,11887,75,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hawaii,2778750,196257,248991,2051677,144906,1910262,171170,1147509,81,1055723,94.6,857600,60.6,805833,72.2,1625710,1039640,113400,0,54307,658505,1244805,94060,274940,510028,54491,18141,274330,459054,54325,18124,N/A,81,N/A,94.6,56.9,753399,67.5,1147509,291188,99.9,237093,88.3,97466,127786,10424,1417,575318,214313,1035120,1131356,93.4,856072,70.7,274889,508598,54455,18130,2034868,168017,229438,1146376,86.2,857425,64.4,274894,509943,54457,18131,2051080,154141,208826,109309,12.7,109163,13.5,85549,19.4,61403,25.9,27184,81419,681,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iowa,5159205,163521,212468,4057930,128616,3797267,156380,1946761,61.7,1796627,74,1777512,56.3,1669586,68.8,2906745,1997860,254600,0,157568,1624594,2275358,410,683600,942585,151078,249,683402,834943,150993,248,N/A,61.7,N/A,74,52,1533860,63.2,1946761,530736,96,500702,90.6,263041,223638,13913,110,1291039,233480,933026,1917622,71.7,1777467,66.4,683595,942547,151076,249,4028293,150518,192775,1946728,65.8,1777504,60.1,683596,942583,151076,249,4057900,137117,174331,443276,24.9,442922,26.5,360604,38.1,262256,52.4,199790,239331,4153,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Idaho,2704880,151359,202028,1832792,102559,1831467,136793,897259,50.2,894313,66.8,801125,44.8,799351,59.7,1497980,1067200,139700,0,73387,743508,1013317,2580,307789,421410,71299,627,307762,419691,71277,621,N/A,50.2,N/A,66.8,41.2,734463,54.9,897259,263477,90.6,243066,83.6,111672,119569,11557,268,611985,210543,930567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181801,22.7,181796,22.7,147484,33,107629,44.3,71612,108128,2021,40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
